TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/17(Thu)-01:00,2019-01-17 01:00:00,0.006999999999999999,0.032,0.008,0.7,39,21
2019.01/17(Thu)-02:00,2019-01-17 02:00:00,0.006,0.035,0.006,0.7,40,22
2019.01/17(Thu)-03:00,2019-01-17 03:00:00,0.005,0.013000000000000001,0.03,0.7,37,17
2019.01/17(Thu)-04:00,2019-01-17 04:00:00,0.005,0.011000000000000001,0.033,0.7,35,11
2019.01/17(Thu)-05:00,2019-01-17 05:00:00,0.005,0.011000000000000001,0.031,0.7,38,15
2019.01/17(Thu)-06:00,2019-01-17 06:00:00,0.006,0.015,0.024,0.8,40,16
2019.01/17(Thu)-07:00,2019-01-17 07:00:00,0.006,0.024,0.015,0.8,44,17
2019.01/17(Thu)-08:00,2019-01-17 08:00:00,0.006,0.028999999999999998,0.01,1.0,54,19
2019.01/17(Thu)-09:00,2019-01-17 09:00:00,0.006,0.031,0.009000000000000001,1.0,57,24
2019.01/17(Thu)-10:00,2019-01-17 10:00:00,0.006,0.025,0.015,1.0,61,25
2019.01/17(Thu)-11:00,2019-01-17 11:00:00,0.006999999999999999,0.02,0.021,1.0,57,23
2019.01/17(Thu)-12:00,2019-01-17 12:00:00,0.006,0.013999999999999999,0.03,0.9,48,23
2019.01/17(Thu)-13:00,2019-01-17 13:00:00,0.006,0.011000000000000001,0.035,0.7,42,14
2019.01/17(Thu)-14:00,2019-01-17 14:00:00,0.0,0.0,0.0,0.0,0,0
2019.01/17(Thu)-15:00,2019-01-17 15:00:00,0.0,0.0,0.0,0.0,0,0
2019.01/17(Thu)-16:00,2019-01-17 16:00:00,0.006,0.013999999999999999,0.037000000000000005,0.5,42,15
2019.01/17(Thu)-17:00,2019-01-17 17:00:00,0.006999999999999999,0.018000000000000002,0.034,0.6,39,13
2019.01/17(Thu)-18:00,2019-01-17 18:00:00,0.005,0.018000000000000002,0.034,0.6,39,15
2019.01/17(Thu)-19:00,2019-01-17 19:00:00,0.006,0.026000000000000002,0.025,0.8,43,19
2019.01/17(Thu)-20:00,2019-01-17 20:00:00,0.005,0.023,0.027999999999999997,0.7,41,17
2019.01/17(Thu)-21:00,2019-01-17 21:00:00,0.006,0.03,0.02,0.7,39,15
2019.01/17(Thu)-22:00,2019-01-17 22:00:00,0.006,0.027000000000000003,0.021,0.7,36,15
2019.01/17(Thu)-23:00,2019-01-17 23:00:00,0.005,0.019,0.027000000000000003,0.7,35,15
2019.01/18(Fri)-00:00,2019-01-18 00:00:00,0.005,0.013000000000000001,0.033,0.7,33,12
2019.01/18(Fri)-01:00,2019-01-18 01:00:00,0.004,0.013999999999999999,0.032,0.6,28,10
2019.01/18(Fri)-02:00,2019-01-18 02:00:00,0.004,0.013000000000000001,0.031,0.6,27,8
2019.01/18(Fri)-03:00,2019-01-18 03:00:00,0.005,0.013999999999999999,0.028999999999999998,0.6,26,11
2019.01/18(Fri)-04:00,2019-01-18 04:00:00,0.005,0.017,0.025,0.5,28,9
2019.01/18(Fri)-05:00,2019-01-18 05:00:00,0.005,0.024,0.017,0.6,28,12
2019.01/18(Fri)-06:00,2019-01-18 06:00:00,0.006,0.031,0.012,0.6,28,13
2019.01/18(Fri)-07:00,2019-01-18 07:00:00,0.006999999999999999,0.048,0.004,0.8,41,21
2019.01/18(Fri)-08:00,2019-01-18 08:00:00,0.008,0.065,0.003,1.2,57,37
2019.01/18(Fri)-09:00,2019-01-18 09:00:00,0.009000000000000001,0.078,0.003,1.4,74,52
2019.01/18(Fri)-10:00,2019-01-18 10:00:00,0.008,0.065,0.004,1.1,74,44
2019.01/18(Fri)-11:00,2019-01-18 11:00:00,0.008,0.068,0.006999999999999999,1.0,65,38
2019.01/18(Fri)-12:00,2019-01-18 12:00:00,0.009000000000000001,0.047,0.018000000000000002,0.8,67,41
2019.01/18(Fri)-13:00,2019-01-18 13:00:00,0.008,0.027999999999999997,0.026000000000000002,0.6,44,22
2019.01/18(Fri)-14:00,2019-01-18 14:00:00,0.006,0.019,0.033,0.7,34,15
2019.01/18(Fri)-15:00,2019-01-18 15:00:00,0.006999999999999999,0.021,0.036000000000000004,0.7,48,27
2019.01/18(Fri)-16:00,2019-01-18 16:00:00,0.02,0.032,0.028999999999999998,0.7,65,38
2019.01/18(Fri)-17:00,2019-01-18 17:00:00,0.016,0.027999999999999997,0.032,0.8,64,40
2019.01/18(Fri)-18:00,2019-01-18 18:00:00,0.008,0.023,0.037000000000000005,0.8,60,33
2019.01/18(Fri)-19:00,2019-01-18 19:00:00,0.008,0.045,0.018000000000000002,0.9,62,34
2019.01/18(Fri)-20:00,2019-01-18 20:00:00,0.013000000000000001,0.063,0.004,0.9,69,43
2019.01/18(Fri)-21:00,2019-01-18 21:00:00,0.012,0.064,0.004,1.0,74,46
2019.01/18(Fri)-22:00,2019-01-18 22:00:00,0.006999999999999999,0.047,0.012,0.9,71,45
2019.01/18(Fri)-23:00,2019-01-18 23:00:00,0.008,0.066,0.004,1.1,86,57
